function_name,dataset_size,iterations
minNetProfitGroupedBySoldDateWhereProfitNegative,2GB,25
countNetProfitGroupedBySoldDateWhereProfitNegative,2GB,25
sumNetProfitGroupedBySoldDateWhereProfitNegative,2GB,25
maxNetProfitGroupedBySoldDateWhereProfitNegative,2GB,25
avgNetProfitGroupedBySoldDateWhereProfitNegative,2GB,25
avgNetProfitGroupedBySoldDateWhereYearAfter2000,2GB,25
countNetProfitGroupedBySoldDateWhereYearAfter2000,2GB,25
minNetProfitGroupedBySoldDateWhereYearAfter2000,2GB,25
sumNetProfitGroupedBySoldDateWhereYearAfter2000,2GB,25
maxNetProfitGroupedBySoldDateWhereYearAfter2000,2GB,25
